VIVIEN LEIGH
WENDY HILLER
WENDY HUGHES
WHITNEY HOUSTON
YUKO TAKEUCHI
YVETTE ETIEVANT
YVETTE LEBON
YVETTE MIMIEUX
YVONNE CRAIG
YVONNE DE CARLO
Yvonne Furneaux
ZOE KRAVITZ
ZSA ZSA GABOR
